2026-03-07T15:33:35.783005 | Executing: echo CEO_TEST_SUCCESS
2026-03-07T15:33:35.785230 | Exit code: 0
2026-03-07T15:33:35.785324 | STDOUT: CEO_TEST_SUCCESS
2026-03-07T15:33:35.785963 | Task completed successfully.
2026-03-07T16:08:47.293790 | Worker started.
2026-03-07T16:08:47.294351 | Executing (chain): echo STEP_1
2026-03-07T16:08:47.296682 | Exit code: 0
2026-03-07T16:08:47.296781 | STDOUT: STEP_1
2026-03-07T16:08:47.797782 | Executing (chain): echo STEP_2
2026-03-07T16:08:47.800370 | Exit code: 0
2026-03-07T16:08:47.800469 | STDOUT: STEP_2
2026-03-07T16:08:48.301486 | Executing (chain): echo STEP_3
2026-03-07T16:08:48.316719 | Exit code: 0
2026-03-07T16:08:48.316815 | STDOUT: STEP_3
2026-03-07T16:08:48.316938 | Task completed successfully.
2026-03-07T16:08:48.817865 | Idle - no active task.
